,subject,block,clf,nth_letter,correct,correct_sofar,auc,earliest_correct,first_valid,num_target_flashes,mandatory_target_flashes,sample_rate,ntime_features,letter_memory,lowpass,early_stop_sim,postfix_sim
235,2,1,toep_lda,13,True,13,0.96875,10,5,2,1,40,27,inf,8,False,False
236,2,1,slda,14,True,11,0.8197115384615383,49,7,13,1,40,27,inf,8,False,False
237,2,1,toep_lda,14,True,14,0.9651442307692308,25,7,7,1,40,27,inf,8,False,False
238,2,1,slda,15,True,12,0.828125,32,5,8,1,40,27,inf,8,False,False
239,2,1,toep_lda,15,True,15,0.9555288461538461,16,5,3,1,40,27,inf,8,False,False
240,2,1,slda,16,True,13,0.8569711538461539,43,8,10,2,40,27,inf,8,False,False
241,2,1,toep_lda,16,True,16,0.9915865384615384,18,8,5,2,40,27,inf,8,False,False
242,2,1,slda,17,True,14,0.7463942307692307,60,9,15,1,40,27,inf,8,False,False
243,2,1,toep_lda,17,True,17,0.9783653846153846,10,9,2,1,40,27,inf,8,False,False
244,2,1,slda,18,True,15,0.8617788461538461,46,7,11,2,40,27,inf,8,False,False
245,2,1,toep_lda,18,True,18,0.9987980769230769,8,7,2,2,40,27,inf,8,False,False
246,2,1,slda,19,True,16,0.8329326923076923,32,7,7,1,40,27,inf,8,False,False
247,2,1,toep_lda,19,True,19,0.9759615384615384,11,7,2,1,40,27,inf,8,False,False
248,2,1,slda,20,False,16,0.7584134615384616,,6,,1,40,27,inf,8,False,False
249,2,1,toep_lda,20,True,20,0.9651442307692307,25,6,7,1,40,27,inf,8,False,False
250,2,1,slda,21,True,17,0.8737980769230769,55,6,13,1,40,27,inf,8,False,False
251,2,1,toep_lda,21,True,21,0.9903846153846154,17,6,5,1,40,27,inf,8,False,False
252,2,1,slda,22,True,18,0.8088942307692307,66,9,16,0,40,27,inf,8,False,False
253,2,1,toep_lda,22,True,22,0.9639423076923077,19,9,4,0,40,27,inf,8,False,False
254,2,1,slda,23,True,19,0.8305288461538461,40,6,10,2,40,27,inf,8,False,False
255,2,1,toep_lda,23,True,23,0.9807692307692307,13,6,4,2,40,27,inf,8,False,False
256,2,1,slda,24,True,20,0.9435096153846154,15,7,4,1,40,27,inf,8,False,False
257,2,1,toep_lda,24,True,24,0.9951923076923077,20,7,4,1,40,27,inf,8,False,False
258,2,1,slda,25,True,21,0.78125,62,9,14,1,40,27,inf,8,False,False
259,2,1,toep_lda,25,True,25,0.971153846153846,10,9,1,1,40,27,inf,8,False,False
260,2,1,slda,26,True,22,0.8653846153846154,20,6,5,2,40,27,inf,8,False,False
261,2,1,toep_lda,26,True,26,0.9915865384615384,11,6,3,2,40,27,inf,8,False,False
262,2,1,slda,27,True,23,0.9014423076923076,11,4,2,1,40,27,inf,8,False,False
263,2,1,toep_lda,27,True,27,0.9939903846153846,11,4,2,1,40,27,inf,8,False,False
264,2,1,slda,28,True,24,0.8557692307692307,55,3,13,1,40,27,inf,8,False,False
265,2,1,toep_lda,28,True,28,0.9867788461538461,11,3,3,1,40,27,inf,8,False,False
266,2,1,slda,29,True,25,0.9591346153846153,16,4,4,2,40,27,inf,8,False,False
267,2,1,toep_lda,29,True,29,0.9975961538461539,9,4,3,2,40,27,inf,8,False,False
268,2,1,slda,30,True,26,0.9074519230769231,17,6,4,2,40,27,inf,8,False,False
269,2,1,toep_lda,30,True,30,1.0,9,6,2,2,40,27,inf,8,False,False
270,2,1,slda,31,True,27,0.8930288461538461,20,5,4,1,40,27,inf,8,False,False
271,2,1,toep_lda,31,True,31,0.9975961538461539,10,5,2,1,40,27,inf,8,False,False
272,2,1,slda,32,True,28,0.9471153846153847,30,5,6,1,40,27,inf,8,False,False
273,2,1,toep_lda,32,True,32,1.0,18,5,4,1,40,27,inf,8,False,False
274,2,1,slda,33,True,29,0.9170673076923077,16,5,3,1,40,27,inf,8,False,False
275,2,1,toep_lda,33,True,33,1.0,6,5,1,1,40,27,inf,8,False,False
276,2,1,slda,34,True,30,0.8966346153846153,25,6,6,2,40,27,inf,8,False,False
277,2,1,toep_lda,34,True,34,0.9831730769230769,13,6,4,2,40,27,inf,8,False,False
278,2,1,slda,35,True,31,0.8485576923076923,43,5,10,1,40,27,inf,8,False,False
279,2,1,toep_lda,35,True,35,0.969951923076923,11,5,2,1,40,27,inf,8,False,False
280,2,2,slda,1,False,0,0.6826923076923077,,4,,1,40,27,inf,8,False,False
281,2,2,toep_lda,1,True,1,0.8473557692307693,46,4,10,1,40,27,inf,8,False,False
282,2,2,slda,2,True,1,0.8161057692307692,65,4,15,1,40,27,inf,8,False,False
283,2,2,toep_lda,2,True,2,0.8990384615384617,24,4,6,1,40,27,inf,8,False,False
284,2,2,slda,3,False,1,0.7283653846153845,,7,,2,40,27,inf,8,False,False
285,2,2,toep_lda,3,True,3,0.8762019230769231,26,7,5,2,40,27,inf,8,False,False
286,2,2,slda,4,False,1,0.75,,9,,1,40,27,inf,8,False,False
287,2,2,toep_lda,4,True,4,0.9146634615384617,10,9,1,1,40,27,inf,8,False,False
288,2,2,slda,5,False,1,0.7548076923076923,,5,,2,40,27,inf,8,False,False
289,2,2,toep_lda,5,True,5,0.9086538461538461,30,5,7,2,40,27,inf,8,False,False
290,2,2,slda,6,True,2,0.7920673076923077,42,6,11,1,40,27,inf,8,False,False
291,2,2,toep_lda,6,True,6,0.9459134615384615,10,6,2,1,40,27,inf,8,False,False
292,2,2,slda,7,False,2,0.7632211538461539,,6,,1,40,27,inf,8,False,False
293,2,2,toep_lda,7,True,7,0.9531250000000001,13,6,2,1,40,27,inf,8,False,False
